epoch,train_loss,val_loss,val_mae,test_loss,test_mae
1,1.7485,1.4305,0.9278,,
2,1.0335,1.4282,0.8992,,
3,0.9809,1.4277,0.9142,,
4,0.9142,1.4541,0.9221,,
5,0.6003,2.0122,1.1057,,
6,0.4848,1.4395,0.8750,,
7,0.2938,1.7929,0.9793,,
8,0.1740,1.4267,0.8764,,
9,0.1596,1.6968,0.9997,,
10,0.0779,1.5462,0.9159,,
11,0.0483,1.6642,0.9771,,
12,0.0352,1.4879,0.9155,,
13,0.0253,1.5527,0.9444,,
14,0.0221,1.4833,0.9185,,
15,0.0187,1.5610,0.9532,,
16,0.0148,1.5173,0.9449,,
17,0.0114,1.5940,0.9686,,
18,0.0102,1.4967,0.9452,,
19,0.0056,1.5442,0.9508,,
20,0.0036,1.5090,0.9461,,
21,0.0028,1.5607,0.9574,,
22,0.0022,1.5192,0.9452,,
23,0.0014,1.5366,0.9519,,
24,0.0012,1.5257,0.9474,,
25,0.0013,1.5454,0.9541,,
26,0.0012,1.5113,0.9427,,
27,0.0018,1.5297,0.9431,,
28,0.0030,1.5477,0.9618,,
29,0.0029,1.5217,0.9427,,
30,0.0029,1.5199,0.9473,,
final_test,,,,0.9552,0.8134
