epoch,train_loss,val_loss,val_mae,test_loss,test_mae
1,1.3871,1.4654,0.8787,,
2,1.3175,1.4607,0.8734,,
3,1.3323,1.4352,0.8752,,
4,1.2522,1.4197,0.8728,,
5,1.3009,1.4124,0.8648,,
6,1.3045,1.4079,0.8589,,
7,1.1989,1.3965,0.8571,,
8,1.2601,1.3886,0.8550,,
9,1.1671,1.3933,0.8458,,
10,1.2016,1.4038,0.8433,,
11,1.1881,1.3821,0.8447,,
12,1.2418,1.3769,0.8490,,
13,1.2190,1.3929,0.8408,,
14,1.2554,1.3726,0.8508,,
15,1.2484,1.3727,0.8491,,
16,1.1573,1.3748,0.8452,,
17,1.1397,1.3715,0.8443,,
18,1.1848,1.3897,0.8385,,
19,1.1057,1.3698,0.8458,,
20,1.1945,1.3789,0.8415,,
21,1.1968,1.3784,0.8434,,
22,1.0901,1.3734,0.8433,,
23,1.1557,1.3720,0.8477,,
24,1.0114,1.3775,0.8449,,
25,1.0500,1.3725,0.8466,,
26,1.1071,1.3739,0.8442,,
27,1.0751,1.3743,0.8431,,
28,1.0198,1.3756,0.8398,,
29,1.0792,1.3780,0.8381,,
30,1.1002,1.3736,0.8438,,
final_test,,,,0.6637,0.7411
