epoch,train_loss,val_loss,val_mae,test_loss,test_mae
1,1.2050,1.5181,0.9253,,
2,1.3421,1.5269,0.9158,,
3,1.2623,1.4961,0.9249,,
4,1.3714,1.4867,0.9190,,
5,1.1983,1.4914,0.9094,,
6,1.2982,1.4858,0.9106,,
7,1.3042,1.4881,0.9039,,
8,1.2046,1.4732,0.9051,,
9,1.1789,1.4769,0.9023,,
10,1.2222,1.4771,0.9014,,
11,1.1892,1.4677,0.9035,,
12,1.1076,1.4702,0.8985,,
13,1.1917,1.4777,0.8954,,
14,1.1589,1.4824,0.8911,,
15,1.1793,1.4697,0.8965,,
16,1.1612,1.4727,0.8942,,
17,1.1930,1.4617,0.8963,,
18,1.1684,1.4588,0.8949,,
19,1.1337,1.4597,0.8948,,
20,1.0083,1.4582,0.8959,,
21,1.1703,1.4737,0.8922,,
22,1.0814,1.4681,0.8932,,
23,1.1423,1.4595,0.8988,,
24,1.0931,1.4698,0.8952,,
25,1.0308,1.4705,0.8958,,
26,1.0272,1.4690,0.8968,,
27,1.1217,1.4589,0.8979,,
28,1.0832,1.4568,0.8985,,
29,0.9256,1.4534,0.8975,,
30,1.0393,1.4533,0.8986,,
31,1.0658,1.4716,0.8902,,
32,1.0293,1.4536,0.8991,,
33,0.9864,1.4548,0.9038,,
34,1.1434,1.4645,0.8957,,
35,1.0007,1.4708,0.8938,,
36,1.0652,1.4727,0.8936,,
37,1.0603,1.4635,0.8993,,
38,1.0929,1.4640,0.9006,,
39,1.0448,1.4756,0.8987,,
40,1.0533,1.4770,0.8975,,
41,0.9999,1.4716,0.8992,,
42,0.9495,1.4857,0.8949,,
43,0.9793,1.4776,0.8986,,
44,1.0046,1.4778,0.8952,,
45,0.9719,1.4763,0.8974,,
46,0.9620,1.4825,0.8961,,
47,1.0163,1.4818,0.8957,,
48,1.0029,1.4753,0.9004,,
49,0.9102,1.4713,0.9000,,
50,0.9499,1.4747,0.8987,,
51,0.9732,1.4848,0.8976,,
52,0.9567,1.4888,0.8964,,
